XGZQMJGGSTOE_8	0.05	10	500	0.5	8	gene1945	249	249	642	gene1945	6.43E-02	2.57E-04	1.01E-03	3.09E-01	9.35E-02	1.47E-01
XGZQMJGGSTOE_9	0.05	10	500	0.5	9	gene1945	249	249	642	gene1945	6.83E-02	3.80E-04	3.61E-04	3.16E-01	8.79E-02	1.59E-01
XGZQMJGGSTOE_10	0.05	10	500	0.5	10	gene1945	249	249	642	gene1945	6.02E-02	3.42E-05	5.04E-05	3.82E-01	9.33E-02	1.81E-01
COHJSWGIOHHM_1	0.05	10	600	0.5	1	gene1945	299	299	542	gene1945	6.69E-02	2.08E-05	2.58E-04	3.11E-01	8.45E-02	1.49E-01
COHJSWGIOHHM_2	0.05	10	600	0.5	2	gene1945	299	299	542	gene1945	6.52E-02	1.56E-06	1.93E-05	3.66E-01	8.49E-02	1.74E-01
COHJSWGIOHHM_3	0.05	10	600	0.5	3	gene1945	299	299	542	gene1945	6.35E-02	1.31E-05	1.16E-05	3.65E-01	8.26E-02	1.78E-01
COHJSWGIOHHM_4	0.05	10	600	0.5	4	gene1945	299	299	542	gene1945	6.69E-02	1.06E-03	1.49E-03	2.63E-01	8.25E-02	1.30E-01
COHJSWGIOHHM_5	0.05	10	600	0.5	5	gene1945	299	299	542	gene1945	6.69E-02	8.55E-05	7.95E-05	3.22E-01	8.09E-02	1.61E-01
COHJSWGIOHHM_6	0.05	10	600	0.5	6	gene1945	299	299	542	gene1945	6.19E-02	3.65E-04	4.81E-04	2.99E-01	8.51E-02	1.42E-01
COHJSWGIOHHM_7	0.05	10	600	0.5	7	gene1945	299	299	542	gene1945	6.69E-02	8.55E-05	1.72E-04	3.19E-01	8.44E-02	1.53E-01
COHJSWGIOHHM_8	0.05	10	600	0.5	8	gene1945	299	299	542	gene1945	5.85E-02	2.56E-06	2.16E-06	4.10E-01	8.56E-02	1.92E-01
COHJSWGIOHHM_9	0.05	10	600	0.5	9	gene1945	299	299	542	gene1945	6.52E-02	1.65E-03	1.37E-03	2.70E-01	8.40E-02	1.31E-01
COHJSWGIOHHM_10	0.05	10	600	0.5	10	gene1945	299	299	542	gene1945	5.69E-02	1.02E-04	9.55E-05	3.43E-01	8.73E-02	1.59E-01
QHXUBBFWCVTV_1	0.05	10	700	0.5	1	gene1945	349	349	442	gene1945	6.73E-02	2.84E-06	2.46E-06	3.54E-01	7.44E-02	1.77E-01
QHXUBBFWCVTV_2	0.05	10	700	0.5	2	gene1945	349	349	442	gene1945	6.59E-02	7.90E-04	7.69E-04	2.56E-01	7.58E-02	1.27E-01
QHXUBBFWCVTV_3	0.05	10	700	0.5	3	gene1945	349	349	442	gene1945	6.59E-02	4.73E-06	2.38E-05	3.31E-01	7.77E-02	1.59E-01
QHXUBBFWCVTV_4	0.05	10	700	0.5	4	gene1945	349	349	442	gene1945	5.73E-02	2.29E-05	4.26E-05	3.45E-01	8.37E-02	1.54E-01
QHXUBBFWCVTV_5	0.05	10	700	0.5	5	gene1945	349	349	442	gene1945	6.88E-02	3.31E-04	1.38E-03	2.46E-01	7.67E-02	1.21E-01
QHXUBBFWCVTV_6	0.05	10	700	0.5	6	gene1945	349	349	442	gene1945	6.30E-02	5.14E-05	4.78E-05	3.15E-01	7.71E-02	1.53E-01
QHXUBBFWCVTV_7	0.05	10	700	0.5	7	gene1945	349	349	442	gene1945	6.02E-02	8.32E-06	7.44E-06	3.55E-01	7.86E-02	1.69E-01
QHXUBBFWCVTV_8	0.05	10	700	0.5	8	gene1945	349	349	442	gene1945	6.16E-02	4.99E-06	4.40E-06	3.59E-01	7.76E-02	1.73E-01
QHXUBBFWCVTV_9	0.05	10	700	0.5	9	gene1945	349	349	442	gene1945	6.30E-02	2.98E-06	2.29E-05	3.37E-01	7.90E-02	1.60E-01
QHXUBBFWCVTV_10	0.05	10	700	0.5	10	gene1945	349	349	442	gene1945	6.30E-02	5.14E-05	5.61E-05	3.20E-01	7.89E-02	1.52E-01
BJMIAOZRXXVG_1	0.05	10	800	0.5	1	gene1945	399	399	342	gene1945	6.27E-02	2.95E-06	2.61E-06	3.41E-01	7.21E-02	1.65E-01
BJMIAOZRXXVG_2	0.05	10	800	0.5	2	gene1945	399	399	342	gene1945	6.27E-02	4.31E-05	4.04E-05	2.99E-01	7.24E-02	1.45E-01
BJMIAOZRXXVG_3	0.05	10	800	0.5	3	gene1945	399	399	342	gene1945	6.39E-02	2.70E-05	2.51E-05	3.04E-01	7.17E-02	1.49E-01
BJMIAOZRXXVG_4	0.05	10	800	0.5	4	gene1945	399	399	342	gene1945	6.52E-02	2.43E-07	4.84E-07	3.73E-01	7.34E-02	1.77E-01
BJMIAOZRXXVG_5	0.05	10	800	0.5	5	gene1945	399	399	342	gene1945	6.27E-02	4.31E-05	8.31E-05	2.92E-01	7.38E-02	1.39E-01
BJMIAOZRXXVG_6	0.05	10	800	0.5	6	gene1945	399	399	342	gene1945	6.27E-02	4.31E-05	5.57E-05	2.97E-01	7.33E-02	1.42E-01
BJMIAOZRXXVG_7	0.05	10	800	0.5	7	gene1945	399	399	342	gene1945	6.64E-02	2.71E-06	1.64E-05	3.17E-01	7.32E-02	1.52E-01
BJMIAOZRXXVG_8	0.05	10	800	0.5	8	gene1945	399	399	342	gene1945	6.27E-02	1.18E-05	1.07E-05	3.20E-01	7.22E-02	1.55E-01
BJMIAOZRXXVG_9	0.05	10	800	0.5	9	gene1945	399	399	342	gene1945	6.52E-02	5.03E-08	2.06E-07	3.79E-01	7.24E-02	1.83E-01
BJMIAOZRXXVG_10	0.05	10	800	0.5	10	gene1945	399	399	342	gene1945	6.39E-02	7.24E-06	1.12E-05	3.19E-01	7.22E-02	1.55E-01
NFKEZXPIHMIH_1	0.05	10	900	0.5	1	gene1945	449	449	242	gene1945	6.46E-02	1.40E-05	1.54E-05	3.06E-01	7.04E-02	1.44E-01
NFKEZXPIHMIH_2	0.05	10	900	0.5	2	gene1945	449	449	242	gene1945	6.57E-02	2.43E-06	4.79E-06	3.11E-01	6.76E-02	1.52E-01
NFKEZXPIHMIH_3	0.05	10	900	0.5	3	gene1945	449	449	242	gene1945	6.01E-02	9.61E-08	7.89E-08	3.74E-01	6.91E-02	1.78E-01
NFKEZXPIHMIH_4	0.05	10	900	0.5	4	gene1945	449	449	242	gene1945	6.24E-02	1.57E-07	9.32E-07	3.45E-01	6.99E-02	1.63E-01
NFKEZXPIHMIH_5	0.05	10	900	0.5	5	gene1945	449	449	242	gene1945	6.46E-02	1.40E-05	7.88E-06	3.07E-01	6.84E-02	1.48E-01
NFKEZXPIHMIH_6	0.05	10	900	0.5	6	gene1945	449	449	242	gene1945	6.46E-02	1.40E-05	2.24E-05	2.90E-01	6.80E-02	1.41E-01
NFKEZXPIHMIH_7	0.05	10	900	0.5	7	gene1945	449	449	242	gene1945	6.57E-02	6.97E-09	2.54E-08	3.84E-01	6.83E-02	1.85E-01
NFKEZXPIHMIH_8	0.05	10	900	0.5	8	gene1945	449	449	242	gene1945	6.68E-02	1.50E-06	1.33E-06	3.21E-01	6.60E-02	1.61E-01
NFKEZXPIHMIH_9	0.05	10	900	0.5	9	gene1945	449	449	242	gene1945	6.46E-02	3.91E-06	1.24E-05	3.00E-01	6.82E-02	1.45E-01
NFKEZXPIHMIH_10	0.05	10	900	0.5	10	gene1945	449	449	242	gene1945	5.90E-02	7.19E-07	6.31E-07	3.58E-01	7.14E-02	1.65E-01
VZRVSMVUWHKC_1	0.05	10	1000	0.5	1	gene1945	499	499	142	gene1945	6.51E-02	1.44E-07	2.40E-07	3.34E-01	6.42E-02	1.63E-01
VZRVSMVUWHKC_2	0.05	10	1000	0.5	2	gene1945	499	499	142	gene1945	6.41E-02	2.79E-09	4.64E-09	3.91E-01	6.61E-02	1.84E-01
VZRVSMVUWHKC_3	0.05	10	1000	0.5	3	gene1945	499	499	142	gene1945	6.51E-02	5.33E-04	5.21E-04	2.22E-01	6.38E-02	1.10E-01
VZRVSMVUWHKC_4	0.05	10	1000	0.5	4	gene1945	499	499	142	gene1945	6.31E-02	5.22E-06	4.80E-06	2.97E-01	6.45E-02	1.44E-01
VZRVSMVUWHKC_5	0.05	10	1000	0.5	5	gene1945	499	499	142	gene1945	6.51E-02	1.44E-07	1.41E-07	3.38E-01	6.37E-02	1.66E-01
VZRVSMVUWHKC_6	0.05	10	1000	0.5	6	gene1945	499	499	142	gene1945	6.31E-02	1.46E-06	3.82E-06	3.06E-01	6.59E-02	1.46E-01
VZRVSMVUWHKC_7	0.05	10	1000	0.5	7	gene1945	499	499	142	gene1945	6.51E-02	1.44E-07	1.59E-07	3.38E-01	6.40E-02	1.65E-01
VZRVSMVUWHKC_8	0.05	10	1000	0.5	8	gene1945	499	499	142	gene1945	6.51E-02	7.80E-09	1.01E-08	3.70E-01	6.40E-02	1.80E-01
VZRVSMVUWHKC_9	0.05	10	1000	0.5	9	gene1945	499	499	142	gene1945	6.41E-02	2.36E-07	2.02E-07	3.34E-01	6.38E-02	1.64E-01
VZRVSMVUWHKC_10	0.05	10	1000	0.5	10	gene1945	499	499	142	gene1945	6.51E-02	3.47E-08	2.83E-08	3.54E-01	6.32E-02	1.75E-01
XXOIVKQOCGYA_1	0.05	100	100	0.5	1	gene1945	49	49	1042	gene1945	7.14E-02	4.99E-02	5.05E-02	3.85E-01	1.94E-01	1.98E-01	bad-chisq
XXOIVKQOCGYA_2	0.05	100	100	0.5	2	gene1945	49	49	1042	gene1945	5.10E-02	1.68E-01	8.20E-02	4.21E-01	2.40E-01	1.77E-01	bad-chisq
XXOIVKQOCGYA_3	0.05	100	100	0.5	3	gene1945	49	49	1042	gene1945	5.10E-02	1.68E-01	1.72E-01	3.16E-01	2.30E-01	1.39E-01	bad-chisq
XXOIVKQOCGYA_4	0.05	100	100	0.5	4	gene1945	49	49	1042	gene1945	5.10E-02	2.17E-02	2.16E-02	5.27E-01	2.26E-01	2.32E-01	bad-chisq
XXOIVKQOCGYA_5	0.05	100	100	0.5	5	gene1945	49	49	1042	gene1945	4.08E-02	4.11E-02	6.36E-02	4.81E-01	2.56E-01	1.88E-01	bad-chisq
XXOIVKQOCGYA_6	0.05	100	100	0.5	6	gene1945	49	49	1042	gene1945	5.10E-02	1.68E-01	1.72E-01	3.16E-01	2.30E-01	1.39E-01	bad-chisq
XXOIVKQOCGYA_7	0.05	100	100	0.5	7	gene1945	49	49	1042	gene1945	4.08E-02	4.11E-02	4.16E-02	5.21E-01	2.52E-01	2.06E-01	bad-chisq
XXOIVKQOCGYA_8	0.05	100	100	0.5	8	gene1945	49	49	1042	gene1945	5.10E-02	2.17E-02	2.28E-02	5.28E-01	2.28E-01	2.30E-01	bad-chisq
XXOIVKQOCGYA_9	0.05	100	100	0.5	9	gene1945	49	49	1042	gene1945	6.12E-02	9.19E-02	9.37E-02	3.55E-01	2.10E-01	1.70E-01	bad-chisq
XXOIVKQOCGYA_10	0.05	100	100	0.5	10	gene1945	49	49	1042	gene1945	6.12E-02	1.15E-02	2.85E-03	6.28E-01	2.05E-01	2.98E-01	bad-chisq
KDBRZHRQXMUH_1	0.05	100	200	0.5	1	gene1945	99	99	942	gene1945	6.06E-02	2.90E-03	2.76E-03	4.44E-01	1.46E-01	2.12E-01	bad-chisq
KDBRZHRQXMUH_2	0.05	100	200	0.5	2	gene1945	99	99	942	gene1945	6.06E-02	1.72E-02	1.71E-02	3.55E-01	1.48E-01	1.69E-01
KDBRZHRQXMUH_3	0.05	100	200	0.5	3	gene1945	99	99	942	gene1945	6.57E-02	9.81E-03	9.65E-03	3.70E-01	1.42E-01	1.84E-01
KDBRZHRQXMUH_4	0.05	100	200	0.5	4	gene1945	99	99	942	gene1945	5.56E-02	5.23E-03	2.75E-03	4.67E-01	1.54E-01	2.12E-01	bad-chisq
KDBRZHRQXMUH_5	0.05	100	200	0.5	5	gene1945	99	99	942	gene1945	5.05E-02	1.17E-03	2.40E-03	5.05E-01	1.64E-01	2.15E-01	bad-chisq
KDBRZHRQXMUH_6	0.05	100	200	0.5	6	gene1945	99	99	942	gene1945	6.06E-02	2.90E-03	2.76E-03	4.44E-01	1.46E-01	2.12E-01	bad-chisq
KDBRZHRQXMUH_7	0.05	100	200	0.5	7	gene1945	99	99	942	gene1945	7.58E-02	1.56E-02	1.55E-02	3.25E-01	1.33E-01	1.72E-01
KDBRZHRQXMUH_8	0.05	100	200	0.5	8	gene1945	99	99	942	gene1945	6.06E-02	1.72E-02	1.71E-02	3.55E-01	1.48E-01	1.69E-01
KDBRZHRQXMUH_9	0.05	100	200	0.5	9	gene1945	99	99	942	gene1945	6.57E-02	1.60E-03	4.97E-03	4.08E-01	1.43E-01	1.99E-01	bad-chisq
KDBRZHRQXMUH_10	0.05	100	200	0.5	10	gene1945	99	99	942	gene1945	5.05E-02	9.43E-03	9.26E-03	4.21E-01	1.60E-01	1.85E-01	bad-chisq
VNUUGOIWCTSB_1	0.05	100	300	0.5	1	gene1945	149	149	842	gene1945	5.37E-02	3.21E-04	2.95E-04	4.62E-01	1.26E-01	2.08E-01	bad-chisq
VNUUGOIWCTSB_2	0.05	100	300	0.5	2	gene1945	149	149	842	gene1945	6.38E-02	3.76E-04	3.51E-03	3.57E-01	1.21E-01	1.69E-01
VNUUGOIWCTSB_3	0.05	100	300	0.5	3	gene1945	149	149	842	gene1945	6.38E-02	3.76E-04	2.19E-04	4.38E-01	1.17E-01	2.13E-01
VNUUGOIWCTSB_4	0.05	100	300	0.5	4	gene1945	149	149	842	gene1945	5.70E-02	1.17E-03	1.76E-03	4.03E-01	1.28E-01	1.80E-01
VNUUGOIWCTSB_5	0.05	100	300	0.5	5	gene1945	149	149	842	gene1945	5.37E-02	3.21E-04	4.07E-04	4.59E-01	1.28E-01	2.04E-01	bad-chisq
VNUUGOIWCTSB_6	0.05	100	300	0.5	6	gene1945	149	149	842	gene1945	6.71E-02	2.12E-04	1.90E-04	4.29E-01	1.13E-01	2.15E-01
VNUUGOIWCTSB_7	0.05	100	300	0.5	7	gene1945	149	149	842	gene1945	7.72E-02	3.72E-05	1.37E-04	4.22E-01	1.09E-01	2.19E-01
VNUUGOIWCTSB_8	0.05	100	300	0.5	8	gene1945	149	149	842	gene1945	7.38E-02	7.85E-03	7.74E-03	2.94E-01	1.10E-01	1.54E-01
VNUUGOIWCTSB_9	0.05	100	300	0.5	9	gene1945	149	149	842	gene1945	6.38E-02	3.76E-04	1.96E-04	4.59E-01	1.22E-01	2.14E-01
VNUUGOIWCTSB_10	0.05	100	300	0.5	10	gene1945	149	149	842	gene1945	6.38E-02	2.05E-03	1.97E-03	3.65E-01	1.17E-01	1.79E-01
DFPVAUPLVIMN_1	0.05	100	400	0.5	1	gene1945	199	199	742	gene1945	5.78E-02	4.48E-05	3.92E-05	4.38E-01	1.05E-01	2.05E-01
DFPVAUPLVIMN_2	0.05	100	400	0.5	2	gene1945	199	199	742	gene1945	5.53E-02	7.87E-05	7.81E-05	4.30E-01	1.08E-01	1.97E-01
DFPVAUPLVIMN_3	0.05	100	400	0.5	3	gene1945	199	199	742	gene1945	7.04E-02	1.62E-05	1.58E-05	4.25E-01	9.72E-02	2.15E-01
DFPVAUPLVIMN_4	0.05	100	400	0.5	4	gene1945	199	199	742	gene1945	5.78E-02	1.27E-03	1.22E-03	3.46E-01	1.06E-01	1.62E-01
DFPVAUPLVIMN_5	0.05	100	400	0.5	5	gene1945	199	199	742	gene1945	6.78E-02	7.02E-04	1.15E-03	3.30E-01	1.01E-01	1.62E-01
DFPVAUPLVIMN_6	0.05	100	400	0.5	6	gene1945	199	199	742	gene1945	6.78E-02	4.55E-06	3.89E-06	4.66E-01	9.96E-02	2.29E-01
DFPVAUPLVIMN_7	0.05	100	400	0.5	7	gene1945	199	199	742	gene1945	6.28E-02	8.66E-05	4.54E-05	4.24E-01	1.03E-01	2.03E-01
DFPVAUPLVIMN_8	0.05	100	400	0.5	8	gene1945	199	199	742	gene1945	7.04E-02	1.71E-03	1.78E-03	3.11E-01	9.87E-02	1.56E-01
DFPVAUPLVIMN_9	0.05	100	400	0.5	9	gene1945	199	199	742	gene1945	6.53E-02	8.09E-06	6.61E-06	4.53E-01	9.91E-02	2.24E-01
DFPVAUPLVIMN_10	0.05	100	400	0.5	10	gene1945	199	199	742	gene1945	5.53E-02	7.87E-05	7.03E-05	4.33E-01	1.08E-01	1.98E-01
DTFAKKUKDNES_1	0.05	100	500	0.5	1	gene1945	249	249	642	gene1945	6.83E-02	9.28E-05	8.52E-05	3.47E-01	8.76E-02	1.75E-01
DTFAKKUKDNES_2	0.05	100	500	0.5	2	gene1945	249	249	642	gene1945	6.63E-02	1.55E-04	1.44E-04	3.41E-01	8.89E-02	1.70E-01
DTFAKKUKDNES_3	0.05	100	500	0.5	3	gene1945	249	249	642	gene1945	6.43E-02	1.16E-05	2.20E-04	3.53E-01	9.48E-02	1.65E-01
DTFAKKUKDNES_4	0.05	100	500	0.5	4	gene1945	249	249	642	gene1945	6.63E-02	3.42E-05	1.04E-04	3.62E-01	9.24E-02	1.73E-01
DTFAKKUKDNES_5	0.05	100	500	0.5	5	gene1945	249	249	642	gene1945	6.43E-02	3.11E-07	4.70E-07	4.60E-01	9.00E-02	2.23E-01
DTFAKKUKDNES_6	0.05	100	500	0.5	6	gene1945	249	249	642	gene1945	5.82E-02	1.72E-06	2.67E-06	4.66E-01	9.81E-02	2.09E-01
DTFAKKUKDNES_7	0.05	100	500	0.5	7	gene1945	249	249	642	gene1945	6.22E-02	9.82E-05	7.05E-05	3.81E-01	9.49E-02	1.77E-01
DTFAKKUKDNES_8	0.05	100	500	0.5	8	gene1945	249	249	642	gene1945	6.02E-02	6.18E-06	8.81E-06	4.19E-01	9.32E-02	1.98E-01
DTFAKKUKDNES_9	0.05	100	500	0.5	9	gene1945	249	249	642	gene1945	6.22E-02	1.99E-05	1.75E-05	3.96E-01	9.12E-02	1.91E-01
DTFAKKUKDNES_10	0.05	100	500	0.5	10	gene1945	249	249	642	gene1945	6.02E-02	6.18E-06	4.14E-05	3.95E-01	9.56E-02	1.83E-01
LFFXKNNMXUWF_1	0.05	100	600	0.5	1	gene1945	299	299	542	gene1945	6.35E-02	4.93E-07	1.28E-06	4.11E-01	8.41E-02	1.97E-01
LFFXKNNMXUWF_2	0.05	100	600	0.5	2	gene1945	299	299	542	gene1945	5.85E-02	2.56E-06	5.83E-06	4.01E-01	8.76E-02	1.84E-01
LFFXKNNMXUWF_3	0.05	100	600	0.5	3	gene1945	299	299	542	gene1945	5.69E-02	1.60E-08	1.26E-08	5.01E-01	8.67E-02	2.30E-01	bad-chisq
LFFXKNNMXUWF_4	0.05	100	600	0.5	4	gene1945	299	299	542	gene1945	6.02E-02	2.50E-07	5.18E-07	4.41E-01	8.69E-02	2.04E-01
LFFXKNNMXUWF_5	0.05	100	600	0.5	5	gene1945	299	299	542	gene1945	6.35E-02	8.13E-08	5.39E-07	4.28E-01	8.44E-02	2.03E-01
LFFXKNNMXUWF_6	0.05	100	600	0.5	6	gene1945	299	299	542	gene1945	7.19E-02	1.92E-05	6.84E-05	3.20E-01	7.98E-02	1.62E-01
LFFXKNNMXUWF_7	0.05	100	600	0.5	7	gene1945	299	299	542	gene1945	6.52E-02	7.76E-06	8.31E-06	3.68E-01	8.19E-02	1.81E-01
LFFXKNNMXUWF_8	0.05	100	600	0.5	8	gene1945	299	299	542	gene1945	5.85E-02	8.99E-09	1.10E-08	4.99E-01	8.61E-02	2.31E-01	bad-chisq
LFFXKNNMXUWF_9	0.05	100	600	0.5	9	gene1945	299	299	542	gene1945	5.69E-02	1.17E-07	2.97E-07	4.56E-01	8.79E-02	2.08E-01
LFFXKNNMXUWF_10	0.05	100	600	0.5	10	gene1945	299	299	542	gene1945	6.52E-02	3.47E-05	4.90E-05	3.41E-01	8.34E-02	1.65E-01
YAMRTYCIOWBL_1	0.05	100	700	0.5	1	gene1945	349	349	442	gene1945	6.45E-02	1.17E-04	1.10E-04	2.97E-01	7.63E-02	1.46E-01
YAMRTYCIOWBL_2	0.05	100	700	0.5	2	gene1945	349	349	442	gene1945	6.45E-02	6.88E-08	4.32E-07	3.97E-01	7.79E-02	1.90E-01
YAMRTYCIOWBL_3	0.05	100	700	0.5	3	gene1945	349	349	442	gene1945	6.88E-02	1.32E-08	3.99E-08	4.16E-01	7.49E-02	2.06E-01
YAMRTYCIOWBL_4	0.05	100	700	0.5	4	gene1945	349	349	442	gene1945	6.73E-02	2.84E-06	2.46E-06	3.54E-01	7.44E-02	1.77E-01
YAMRTYCIOWBL_5	0.05	100	700	0.5	5	gene1945	349	349	442	gene1945	6.59E-02	3.97E-08	7.97E-08	4.18E-01	7.71E-02	2.01E-01
YAMRTYCIOWBL_6	0.05	100	700	0.5	6	gene1945	349	349	442	gene1945	6.30E-02	3.25E-09	2.18E-09	4.61E-01	7.60E-02	2.24E-01
YAMRTYCIOWBL_7	0.05	100	700	0.5	7	gene1945	349	349	442	gene1945	6.73E-02	6.22E-07	5.84E-07	3.76E-01	7.45E-02	1.88E-01
YAMRTYCIOWBL_8	0.05	100	700	0.5	8	gene1945	349	349	442	gene1945	6.59E-02	2.14E-07	1.53E-06	3.77E-01	7.78E-02	1.81E-01
YAMRTYCIOWBL_9	0.05	100	700	0.5	9	gene1945	349	349	442	gene1945	6.45E-02	6.88E-08	5.27E-08	4.16E-01	7.55E-02	2.04E-01
YAMRTYCIOWBL_10	0.05	100	700	0.5	10	gene1945	349	349	442	gene1945	6.45E-02	1.77E-06	4.09E-06	3.60E-01	7.76E-02	1.73E-01
DBANUTXWSBWW_1	0.05	100	800	0.5	1	gene1945	399	399	342	gene1945	6.39E-02	2.96E-09	2.08E-09	4.29E-01	7.08E-02	2.10E-01
DBANUTXWSBWW_2	0.05	100	800	0.5	2	gene1945	399	399	342	gene1945	6.27E-02	6.82E-07	8.67E-07	3.64E-01	7.35E-02	1.73E-01
DBANUTXWSBWW_3	0.05	100	800	0.5	3	gene1945	399	399	342	gene1945	6.77E-02	3.90E-07	3.27E-07	3.58E-01	6.94E-02	1.80E-01
DBANUTXWSBWW_4	0.05	100	800	0.5	4	gene1945	399	399	342	gene1945	6.14E-02	2.29E-10	3.74E-10	4.71E-01	7.43E-02	2.19E-01
DBANUTXWSBWW_5	0.05	100	800	0.5	5	gene1945	399	399	342	gene1945	6.77E-02	8.53E-08	6.81E-08	3.77E-01	6.93E-02	1.90E-01
DBANUTXWSBWW_6	0.05	100	800	0.5	6	gene1945	399	399	342	gene1945	6.52E-02	1.70E-09	8.11E-09	4.26E-01	7.31E-02	2.02E-01
DBANUTXWSBWW_7	0.05	100	800	0.5	7	gene1945	399	399	342	gene1945	6.27E-02	1.45E-07	1.26E-07	3.85E-01	7.21E-02	1.86E-01
DBANUTXWSBWW_8	0.05	100	800	0.5	8	gene1945	399	399	342	gene1945	6.52E-02	9.63E-09	2.26E-08	4.10E-01	7.26E-02	1.96E-01
DBANUTXWSBWW_9	0.05	100	800	0.5	9	gene1945	399	399	342	gene1945	6.52E-02	1.70E-09	2.47E-09	4.30E-01	7.13E-02	2.09E-01
DBANUTXWSBWW_10	0.05	100	800	0.5	10	gene1945	399	399	342	gene1945	6.52E-02	2.43E-07	4.19E-07	3.88E-01	7.61E-02	1.78E-01
YSEKJVFCYPXC_1	0.05	100	900	0.5	1	gene1945	449	449	242	gene1945	6.46E-02	1.18E-08	1.38E-08	3.91E-01	6.83E-02	1.88E-01
YSEKJVFCYPXC_2	0.05	100	900	0.5	2	gene1945	449	449	242	gene1945	6.57E-02	3.35E-08	9.23E-08	3.65E-01	6.78E-02	1.77E-01
YSEKJVFCYPXC_3	0.05	100	900	0.5	3	gene1945	449	449	242	gene1945	6.35E-02	7.32E-10	2.72E-09	4.14E-01	6.89E-02	1.97E-01
YSEKJVFCYPXC_4	0.05	100	900	0.5	4	gene1945	449	449	242	gene1945	6.35E-02	9.40E-08	1.46E-07	3.61E-01	6.82E-02	1.74E-01
YSEKJVFCYPXC_5	0.05	100	900	0.5	5	gene1945	449	449	242	gene1945	6.35E-02	3.97E-09	2.94E-09	4.03E-01	6.72E-02	1.96E-01
YSEKJVFCYPXC_6	0.05	100	900	0.5	6	gene1945	449	449	242	gene1945	6.35E-02	2.00E-08	3.29E-08	3.80E-01	6.81E-02	1.83E-01
YSEKJVFCYPXC_7	0.05	100	900	0.5	7	gene1945	449	449	242	gene1945	6.68E-02	3.81E-07	1.87E-06	3.29E-01	6.85E-02	1.58E-01
YSEKJVFCYPXC_8	0.05	100	900	0.5	8	gene1945	449	449	242	gene1945	6.35E-02	2.00E-08	6.36E-08	3.76E-01	6.89E-02	1.79E-01
YSEKJVFCYPXC_9	0.05	100	900	0.5	9	gene1945	449	449	242	gene1945	6.35E-02	3.97E-09	1.39E-08	3.92E-01	6.85E-02	1.88E-01
YSEKJVFCYPXC_10	0.05	100	900	0.5	10	gene1945	449	449	242	gene1945	6.35E-02	1.25E-10	7.82E-10	4.31E-01	6.93E-02	2.03E-01
HHERKPTNRQVK_1	0.05	100	1000	0.5	1	gene1945	499	499	142	gene1945	6.51E-02	6.05E-11	4.27E-10	4.07E-01	6.45E-02	1.96E-01
HHERKPTNRQVK_2	0.05	100	1000	0.5	2	gene1945	499	499	142	gene1945	6.51E-02	7.80E-09	7.11E-08	3.57E-01	6.57E-02	1.70E-01
HHERKPTNRQVK_3	0.05	100	1000	0.5	3	gene1945	499	499	142	gene1945	6.41E-02	1.04E-10	2.17E-10	4.13E-01	6.44E-02	1.99E-01
HHERKPTNRQVK_4	0.05	100	1000	0.5	4	gene1945	499	499	142	gene1945	6.31E-02	9.49E-10	1.22E-09	4.06E-01	6.62E-02	1.91E-01
HHERKPTNRQVK_5	0.05	100	1000	0.5	5	gene1945	499	499	142	gene1945	6.51E-02	6.05E-11	3.57E-10	4.10E-01	6.48E-02	1.97E-01
HHERKPTNRQVK_6	0.05	100	1000	0.5	6	gene1945	499	499	142	gene1945	6.41E-02	2.79E-09	4.05E-08	3.66E-01	6.61E-02	1.73E-01
HHERKPTNRQVK_7	0.05	100	1000	0.5	7	gene1945	499	499	142	gene1945	6.51E-02	1.65E-09	1.22E-09	3.87E-01	6.30E-02	1.91E-01
HHERKPTNRQVK_8	0.05	100	1000	0.5	8	gene1945	499	499	142	gene1945	6.51E-02	7.80E-09	6.08E-09	3.70E-01	6.31E-02	1.83E-01
HHERKPTNRQVK_9	0.05	100	1000	0.5	9	gene1945	499	499	142	gene1945	6.31E-02	3.17E-11	2.01E-11	4.32E-01	6.37E-02	2.10E-01
HHERKPTNRQVK_10	0.05	100	1000	0.5	10	gene1945	499	499	142	gene1945	6.41E-02	1.83E-11	1.69E-11	4.35E-01	6.39E-02	2.11E-01
ZUULKNWDXUEB_1	0.05	160	100	0.5	1	gene1945	49	49	1042	gene1945	5.10E-02	1.68E-01	1.14E-01	3.58E-01	2.25E-01	1.61E-01	bad-chisq
ZUULKNWDXUEB_2	0.05	160	100	0.5	2	gene1945	49	49	1042	gene1945	5.10E-02	1.68E-01	1.72E-01	3.16E-01	2.30E-01	1.39E-01	bad-chisq
ZUULKNWDXUEB_3	0.05	160	100	0.5	3	gene1945	49	49	1042	gene1945	6.12E-02	9.19E-02	9.37E-02	3.55E-01	2.10E-01	1.70E-01	bad-chisq
ZUULKNWDXUEB_4	0.05	160	100	0.5	4	gene1945	49	49	1042	gene1945	7.14E-02	4.99E-02	6.61E-02	3.64E-01	1.96E-01	1.86E-01	bad-chisq
ZUULKNWDXUEB_5	0.05	160	100	0.5	5	gene1945	49	49	1042	gene1945	6.12E-02	9.19E-02	9.37E-02	3.55E-01	2.10E-01	1.70E-01	bad-chisq
