gene0	Chromosome:1-1524
gene1627	Chromosome:1791570-1792235
gene1628	Chromosome:1792400-1793740
gene1629	Chromosome:1793997-1794707
gene1630	Chromosome:1794756-1795805
gene1631	Chromosome:1795805-1797388
gene1632	Chromosome:1797388-1798245
gene1633	Chromosome:1798294-1799052
gene1634	Chromosome:1799073-1799483
gene1635	Chromosome:1799583-1800899
gene1636	Chromosome:1800896-1802038
gene1637	Chromosome:1802035-1802667
gene1638	Chromosome:1802664-1803284
gene1639	Chromosome:1803294-1804031
gene1640	Chromosome:1804039-1804851
gene1641	Chromosome:1804853-1805656
gene1642	Chromosome:1805653-1806000
gene1643	Chromosome:1806181-1807263
gene1644	Chromosome:1807298-1807762
gene1645	Chromosome:1807903-1809453
gene1646	Chromosome:1809443-1810150
gene1647	Chromosome:1810240-1811058
gene1648	Chromosome:1811127-1812359
gene1649	Chromosome:1812359-1813171
gene1650	Chromosome:1813171-1814577
gene1651	Chromosome:1815253-1815693
gene1652	Chromosome:1815683-1816081
gene1653	Chromosome:1816189-1817607
gene1654	Chromosome:1817615-1818517
gene1655	Chromosome:1818575-1820029
gene1656	Chromosome:1819963-1821693
gene1657	Chromosome:1821690-1823273
gene1658	Chromosome:1823360-1824400
gene1659	Chromosome:1824430-1825887
gene1660	Chromosome:1825998-1826585
gene1661	Chromosome:1826614-1827945
gene1662	Chromosome:1828015-1828088
gene1663	Chromosome:1828180-1828797
gene1664	Chromosome:1828865-1830073
gene1665	Chromosome:1830070-1830561
gene1666	Chromosome:1830665-1833379
gene1667	Chromosome:1833542-1834987
gene1668	Chromosome:1835013-1836236
gene1669	Chromosome:1836387-1836830
gene1670	Chromosome:1837075-1839171
gene1671	Chromosome:1839168-1840583
gene1672	Chromosome:1840572-1842242
gene1673	Chromosome:1842451-1842891
gene1674	Chromosome:1842898-1843692
gene1675	Chromosome:1843741-1846659
gene1676	Chromosome:1846716-1846973
gene1677	Chromosome:1846989-1848458
gene1678	Chromosome:1848517-1852035
gene1679	Chromosome:1852273-1852878
gene1680	Chromosome:1852928-1853122
gene1681	Chromosome:1853184-1853573
gene1682	Chromosome:1853606-1854388
gene1683	Chromosome:1854399-1855454
gene1684	Chromosome:1855764-1856696
gene1685	Chromosome:1856774-1857724
gene1686	Chromosome:1857731-1858537
gene1687	Chromosome:1858733-1859758
gene1688	Chromosome:1859758-1862253
gene1689	Chromosome:1862347-1865382
gene1690	Chromosome:1865576-1866634
gene1691	Chromosome:1866631-1867845
gene1692	Chromosome:1867842-1868726
gene1693	Chromosome:1868723-1869925
gene1694	Chromosome:1869922-1870845
gene1695	Chromosome:1870842-1871354
gene1696	Chromosome:1871363-1872559
gene1697	Chromosome:1872639-1874051
gene1698	Chromosome:1874160-1875221
gene1699	Chromosome:1875304-1881684
gene1700	Chromosome:1881704-1886512
gene1701	Chromosome:1886512-1888020
gene1702	Chromosome:1888026-1891079
gene1703	Chromosome:1891226-1892287
gene1704	Chromosome:1892270-1893562
gene1706	Chromosome:1895725-1896087
gene1707	Chromosome:1896120-1896467
gene1708	Chromosome:1896475-1896867
gene1709	Chromosome:1896876-1898207
gene1710	Chromosome:1898300-1899232
gene1711	Chromosome:1899260-1899916
gene1712	Chromosome:1900241-1900975
gene1713	Chromosome:1901047-1901751
gene1714	Chromosome:1901748-1902296
gene1715	Chromosome:1902397-1903299
gene1716	Chromosome:1903299-1904420
gene1717	Chromosome:1904429-1905253
gene1718	Chromosome:1905250-1906242
gene1719	Chromosome:1906403-1907320
gene1720	Chromosome:1907594-1910593
gene1721	Chromosome:1910586-1910810
gene1722	Chromosome:1910776-1911399
gene1723	Chromosome:1911401-1912081
gene1724	Chromosome:1912153-1912920
gene1725	Chromosome:1912979-1913590
gene1726	Chromosome:1913602-1914876
gene1727	Chromosome:1914962-1915190
gene1728	Chromosome:1915527-1915910
gene1729	Chromosome:1915949-1916701
gene1730	Chromosome:1916698-1917759
gene1731	Chromosome:1917756-1917932
gene1732	Chromosome:1917940-1918746
gene1733	Chromosome:1918746-1919669
gene1734	Chromosome:1919683-1921446
gene1735	Chromosome:1921542-1922723
gene1736	Chromosome:1922745-1923689
gene1737	Chromosome:1923829-1925589
gene1738	Chromosome:1925582-1926205
gene1739	Chromosome:1926202-1927137
gene1740	Chromosome:1927211-1928575
gene1741	Chromosome:1929131-1929880
gene1742	Chromosome:1929786-1931456
gene1743	Chromosome:1931497-1932654
gene1744	Chromosome:1932694-1933878
gene1745	Chromosome:1934482-1934649
gene1746	Chromosome:1934882-1936342
gene1747	Chromosome:1936360-1937316
gene1748	Chromosome:1937313-1938149
gene1749	Chromosome:1938146-1938841
gene1750	Chromosome:1938838-1939602
gene1751	Chromosome:1939599-1940291
gene1752	Chromosome:1940288-1941679
gene1753	Chromosome:1941853-1942665
gene1754	Chromosome:1942659-1943573
gene1755	Chromosome:1943576-1944406
gene1756	Chromosome:1944406-1944756
gene1757	Chromosome:1944809-1945627
gene1758	Chromosome:1945641-1946420
gene1759	Chromosome:1946613-1946686
gene1760	Chromosome:1947030-1947419
gene1761	Chromosome:1947416-1947643
gene1762	Chromosome:1947861-1949345
gene1763	Chromosome:1949342-1950589
gene1764	Chromosome:1950632-1951051
gene1765	Chromosome:1951041-1951751
gene1766	Chromosome:1951852-1953237
gene1767	Chromosome:1952291-1952503
gene1768	Chromosome:1953270-1953839
gene1769	Chromosome:1953864-1954634
gene1770	Chromosome:1954631-1955569
gene1771	Chromosome:1955692-1957245
gene1772	Chromosome:1957677-1959233
gene1773	Chromosome:1959243-1959791
gene1774	Chromosome:1959855-1960487
gene1775	Chromosome:1960667-1960783
gene1776	Chromosome:1960774-1961016
gene1777	Chromosome:1961291-1961788
gene1778	Chromosome:1961887-1962129
gene1779	Chromosome:1962228-1964186
gene1780	Chromosome:1964183-1965370
gene1781	Chromosome:1965657-1965941
gene1782	Chromosome:1965955-1967637
gene1783	Chromosome:1967705-1967917
gene1784	Chromosome:1967917-1968165
gene1785	Chromosome:1968173-1968910
gene1786	Chromosome:1969004-1970704
gene1787	Chromosome:1970989-1971390
gene1788	Chromosome:1971380-1971991
gene1789	Chromosome:1972138-1973568
gene1790	Chromosome:1973630-1976227
gene1791	Chromosome:1976600-1977331
gene1792	Chromosome:1977328-1977885
gene1793	Chromosome:1977969-1979567
gene1794	Chromosome:1979621-1981003
gene1795	Chromosome:1981130-1981579
gene1796	Chromosome:1981614-1984775
gene1797	Chromosome:1984979-1986670
gene1798	Chromosome:1989042-1989566
gene1799	Chromosome:1989833-1992577
gene1800	Chromosome:1993153-1994661
gene1801	Chromosome:1994671-1995054
gene1802	Chromosome:1995054-1995842
gene1803	Chromosome:1997418-1998515
gene1804	Chromosome:1999737-2000006
gene1805	Chromosome:2000074-2000433
gene1806	Chromosome:2000614-2002470
gene1807	Chromosome:2002626-2003870
gene1808	Chromosome:2003878-2005164
gene1809	Chromosome:2005161-2006447
gene1810	Chromosome:2006636-2006947
gene1811	Chromosome:2007020-2007766
gene1812	Chromosome:2007832-2009172
gene1813	Chromosome:2009172-2009990
gene1814	Chromosome:2009995-2010555
gene1815	Chromosome:2010656-2011960
gene1816	Chromosome:2012081-2012530
gene1817	Chromosome:2012686-2014479
gene1818	Chromosome:2014699-2015262
gene1819	Chromosome:2015302-2017476
gene1820	Chromosome:2017740-2019260
gene1821	Chromosome:2019257-2023432
gene1822	Chromosome:2023447-2024628
gene1823	Chromosome:2024828-2025031
gene1824	Chromosome:2025301-2026398
gene1825	Chromosome:2026477-2026776
gene1826	Chromosome:2026790-2027971
gene1827	Chromosome:2028425-2029477
gene1828	Chromosome:2029904-2030203
gene1830	Chromosome:2030694-2030978
gene1831	Chromosome:2031066-2031968
gene1832	Chromosome:2032240-2033751
gene1833	Chromosome:2033729-2035486
gene1834	Chromosome:2035483-2036703
gene1835	Chromosome:2036700-2038532
gene1836	Chromosome:2039159-2039350
gene1837	Chromosome:2039453-2041420
gene1838	Chromosome:2042001-2043272
gene1839	Chromosome:2043384-2044775
gene1840	Chromosome:2044923-2046842
gene1841	Chromosome:2047023-2047349
gene1842	Chromosome:2047687-2048034
gene1843	Chromosome:2048072-2048371
gene1844	Chromosome:2049921-2051150
gene1845	Chromosome:2051282-2052688
gene1846	Chromosome:2052933-2053289
gene1847	Chromosome:2053443-2054147
gene1848	Chromosome:2054157-2055359
gene1849	Chromosome:2055681-2056112
gene1850	Chromosome:2056521-2057423
gene1851	Chromosome:2057528-2058193
gene1852	Chromosome:2058256-2058960
gene1853	Chromosome:2059595-2061058
gene1854	Chromosome:2061178-2062674
gene1855	Chromosome:2062809-2064728
gene1856	Chromosome:2064799-2066442
gene1857	Chromosome:2066457-2068883
gene1858	Chromosome:2069080-2069709
gene1859	Chromosome:2069702-2070625
gene1860	Chromosome:2070654-2071019
gene1861	Chromosome:2071036-2071914
gene1862	Chromosome:2071952-2072356
gene1863	Chromosome:2072596-2073084
gene1864	Chromosome:2073081-2073824
gene1865	Chromosome:2073943-2074437
gene1866	Chromosome:2074841-2075518
gene1867	Chromosome:2075571-2075828
gene1868	Chromosome:2075877-2078702
gene1869	Chromosome:2078929-2079789
gene1870	Chromosome:2079830-2080696
gene1871	Chromosome:2080701-2082587
gene1872	Chromosome:2082603-2084636
gene1873	Chromosome:2084756-2086981
gene1874	Chromosome:2087257-2087652
gene1875	Chromosome:2087649-2087912
gene1876	Chromosome:2087971-2089518
gene1877	Chromosome:2089681-2090718
gene1878	Chromosome:2090718-2092085
gene1879	Chromosome:2092259-2093698
gene1880	Chromosome:2093731-2095188
gene1881	Chromosome:2095218-2096168
gene1882	Chromosome:2096183-2096599
gene1883	Chromosome:2096877-2097299
gene1884	Chromosome:2097348-2097650
gene1885	Chromosome:2097647-2097961
gene1886	Chromosome:2097961-2099694
gene1887	Chromosome:2099694-2100329
gene1888	Chromosome:2100340-2101014
gene1889	Chromosome:2101022-2101648
gene1890	Chromosome:2101651-2103042
gene1891	Chromosome:2103184-2104107
gene1892	Chromosome:2104146-2104823
gene1893	Chromosome:2104985-2105770
gene1894	Chromosome:2105773-2106567
gene1895	Chromosome:2106574-2107683
gene1896	Chromosome:2107736-2108713
gene1897	Chromosome:2109165-2109470
gene1898	Chromosome:2109544-2110584
gene1899	Chromosome:2110591-2111361
gene1900	Chromosome:2111354-2112109
gene1901	Chromosome:2112106-2112966
gene1902	Chromosome:2113140-2115476
gene1903	Chromosome:2115764-2117248
gene1904	Chromosome:2117347-2119446
gene1905	Chromosome:2119460-2120695
gene1906	Chromosome:2120795-2121430
gene1907	Chromosome:2121495-2121884
gene1908	Chromosome:2121907-2123151
gene1909	Chromosome:2123174-2123611
gene1910	Chromosome:2123684-2124370
gene1911	Chromosome:2124381-2124824
gene1912	Chromosome:2125340-2125819
gene1913	Chromosome:2125904-2127967
gene1914	Chromosome:2128022-2129374
gene1915	Chromosome:2129377-2130513
gene1916	Chromosome:2130541-2131857
gene1917	Chromosome:2131907-2132329
gene1918	Chromosome:2132370-2133203
gene1919	Chromosome:2133231-2133692
gene1920	Chromosome:2133731-2134261
gene1921	Chromosome:2134273-2134872
gene1922	Chromosome:2134890-2135867
gene1923	Chromosome:2136258-2137400
gene1926	Chromosome:2139076-2139687
gene1927	Chromosome:2139419-2139656
gene1928	Chromosome:2139741-2140148
gene1929	Chromosome:2140165-2140476
gene1930	Chromosome:2140486-2140704
gene1931	Chromosome:2140739-2141869
gene1932	Chromosome:2142521-2143675
gene1933	Chromosome:2143535-2144446
gene1934	Chromosome:2144451-2144882
gene1935	Chromosome:2144940-2145248
gene1936	Chromosome:2145214-2146245
gene1937	Chromosome:2146245-2147633
gene1938	Chromosome:2147662-2148954
gene1939	Chromosome:2149006-2150274
gene1940	Chromosome:2150364-2150768
gene1941	Chromosome:2150954-2151385
gene1942	Chromosome:2151433-2152395
gene1943	Chromosome:2152425-2152895
gene1944	Chromosome:2153235-2153882
gene1945	Chromosome:2153889-2156111
gene1946	Chromosome:2156149-2156592
gene1947	Chromosome:2156706-2157299
gene1948	Chromosome:2157382-2157987
gene1949	Chromosome:2158087-2159091
gene1950	Chromosome:2159191-2159943
gene1951	Chromosome:2159921-2160328
gene1952	Chromosome:2160463-2161566
gene1953	Chromosome:2161566-2162762
gene1954	Chromosome:2162932-2167311
gene1955	Chromosome:2167649-2170612
gene1956	Chromosome:2171061-2171525
gene1957	Chromosome:2171623-2172486
gene1958	Chromosome:2172524-2173795
gene1959	Chromosome:2174067-2175182
gene1960	Chromosome:2175173-2176513
gene1961	Chromosome:2176550-2176930
gene1962	Chromosome:2177087-2178949
gene1963	Chromosome:2178957-2179436
gene1964	Chromosome:2179673-2180446
gene1965	Chromosome:2180450-2181217
gene1966	Chromosome:2181262-2181906
gene1967	Chromosome:2181918-2182442
gene1968	Chromosome:2182460-2183239
gene1969	Chromosome:2183372-2183869
gene1970	Chromosome:2183866-2184957
gene1971	Chromosome:2184959-2186188
gene1972	Chromosome:2186203-2187159
gene1973	Chromosome:2187384-2188493
gene1974	Chromosome:2188496-2191015
gene1975	Chromosome:2191027-2192097
gene1976	Chromosome:2192094-2192609
gene1977	Chromosome:2192606-2193667
gene1978	Chromosome:2193664-2194434
gene1979	Chromosome:2194644-2194973
gene1980	Chromosome:2194970-2195347
gene1981	Chromosome:2195344-2195934
gene1982	Chromosome:2195989-2197353
gene1983	Chromosome:2197508-2197960
gene1984	Chromosome:2198024-2198425
gene1985	Chromosome:2198714-2199064
gene1986	Chromosome:2199998-2200189
gene1987	Chromosome:2200190-2200486
gene1988	Chromosome:2200726-2200941
gene1989	Chromosome:2200938-2201249
gene1990	Chromosome:2201223-2201744
gene1991	Chromosome:2201719-2202096
gene1992	Chromosome:2202138-2202587
gene1993	Chromosome:2202584-2203129
gene1994	Chromosome:2203018-2203632
gene1995	Chromosome:2203681-2203977
gene1996	Chromosome:2203974-2204225
gene1997	Chromosome:2204212-2204706
gene1998	Chromosome:2204866-2205273
gene1999	Chromosome:2205277-2205549
gene2000	Chromosome:2205582-2206802
gene2001	Chromosome:2207700-2208497
gene2002	Chromosome:2208507-2209322
gene2003	Chromosome:2209327-2210604
gene2004	Chromosome:2210601-2211629
gene2005	Chromosome:2211626-2212858
gene2006	Chromosome:2212855-2214126
gene2007	Chromosome:2214123-2215256
gene2008	Chromosome:2215257-2216570
gene2009	Chromosome:2216592-2217167
gene2010	Chromosome:2217164-2217646
gene2011	Chromosome:2217659-2218036
gene2012	Chromosome:2218052-2218717
gene2013	Chromosome:2218844-2219251
gene2014	Chromosome:2219754-2220800
gene2015	Chromosome:2220908-2221756
gene2016	Chromosome:2221719-2223164
gene2017	Chromosome:2223343-2224029
gene2018	Chromosome:2224220-2225188
gene2019	Chromosome:2225413-2225832
gene2020	Chromosome:2225841-2226101
gene2021	Chromosome:2226244-2227920
gene2022	Chromosome:2227908-2228561
gene2023	Chromosome:2228676-2228906
gene2024	Chromosome:2228991-2229902
gene2025	Chromosome:2230011-2230610
gene2026	Chromosome:2231026-2231454
gene2027	Chromosome:2231680-2232219
gene2028	Chromosome:2232739-2233299
gene2029	Chromosome:2233296-2233637
gene2030	Chromosome:2234305-2234649
gene2031	Chromosome:2234643-2234891
gene2032	Chromosome:2234991-2237306
gene2033	Chromosome:2237303-2237575
gene2034	Chromosome:2237628-2237984
gene2035	Chromosome:2238141-2238908
gene2036	Chromosome:2239004-2239957
gene2037	Chromosome:2240159-2242876
gene2038	Chromosome:2242945-2243721
gene2039	Chromosome:2243816-2245138
gene2040	Chromosome:2245209-2246822
gene2041	Chromosome:2246832-2247584
gene2042	Chromosome:2247660-2248442
gene2043	Chromosome:2248563-2249420
gene2044	Chromosome:2249478-2250974
gene2045	Chromosome:2250996-2251883
gene2046	Chromosome:2252002-2255985
gene2047	Chromosome:2256084-2256428
gene2048	Chromosome:2256617-2257942
gene2049	Chromosome:2258030-2258272
gene2050	Chromosome:2258273-2258671
gene2051	Chromosome:2258854-2259285
gene2052	Chromosome:2259326-2259820
gene2053	Chromosome:2261816-2263072
gene2054	Chromosome:2263426-2264001
gene2055	Chromosome:2263998-2265038
gene2056	Chromosome:2265280-2265999
gene2057	Chromosome:2265989-2266405
gene2058	Chromosome:2266805-2267110
gene2059	Chromosome:2267119-2267724
gene2060	Chromosome:2267749-2268108
gene2062	Chromosome:2268693-2270240
gene2063	Chromosome:2270750-2271748
gene2064	Chromosome:2271863-2272747
gene2065	Chromosome:2272787-2274508
gene2066	Chromosome:2274569-2275408
gene2067	Chromosome:2275405-2276424
gene2068	Chromosome:2276441-2278486
gene2069	Chromosome:2278498-2278932
gene2070	Chromosome:2279129-2280124
gene2071	Chromosome:2280240-2281082
gene2072	Chromosome:2281294-2281617
gene2073	Chromosome:2281614-2282102
gene2074	Chromosome:2282099-2282740
gene2075	Chromosome:2282747-2283721
gene2076	Chromosome:2283723-2284796
gene2077	Chromosome:2284799-2285641
gene2078	Chromosome:2285628-2286530
gene2079	Chromosome:2286527-2287846
gene2080	Chromosome:2287884-2288681
gene2081	Chromosome:2288681-2289241
gene2082	Chromosome:2289282-2289599
gene2083	Chromosome:2289685-2291220
gene2084	Chromosome:2291269-2291925
gene2085	Chromosome:2291962-2294526
gene2086	Chromosome:2294531-2306986
gene2087	Chromosome:2299745-2299886
gene2088	Chromosome:2307293-2307517
gene2089	Chromosome:2307821-2308156
gene2090	Chromosome:2308131-2310755
gene2091	Chromosome:2310913-2312517
gene2092	Chromosome:2312522-2313049
gene2093	Chromosome:2313125-2313838
gene2094	Chromosome:2314087-2314353
gene2095	Chromosome:2314354-2314659
gene2096	Chromosome:2314661-2314825
gene2097	Chromosome:2314825-2315061
gene2098	Chromosome:2315174-2316709
gene2099	Chromosome:2316279-2316680
gene2100	Chromosome:2316681-2317085
gene2101	Chromosome:2317169-2320753
gene2102	Chromosome:2320831-2321064
gene2103	Chromosome:2321057-2321467
gene2104	Chromosome:2321451-2322542
gene2105	Chromosome:2322552-2323178
gene2106	Chromosome:2323175-2324701
gene2107	Chromosome:2324647-2325870
gene2108	Chromosome:2325886-2326809
gene2109	Chromosome:2326944-2327501
gene2110	Chromosome:2327491-2328225
gene2111	Chromosome:2328222-2328977
gene2112	Chromosome:2328974-2330146
gene2113	Chromosome:2330214-2330963
gene2114	Chromosome:2330993-2331406
gene2115	Chromosome:2331416-2332879
gene2116	Chromosome:2333037-2333288
gene2117	Chromosome:2333323-2334294
gene2118	Chromosome:2334295-2334594
gene2119	Chromosome:2335059-2335373
gene2120	Chromosome:2335355-2337325
gene2121	Chromosome:2337306-2337869
gene2122	Chromosome:2338065-2338505
gene2123	Chromosome:2338709-2340874
gene2124	Chromosome:2340871-2341815
gene2125	Chromosome:2341808-2342944
gene2126	Chromosome:2343027-2343332
gene2127	Chromosome:2343311-2343916
gene2128	Chromosome:2344411-2346180
gene2129	Chromosome:2346197-2347324
gene2130	Chromosome:2347373-2348554
gene2131	Chromosome:2348558-2349292
gene2132	Chromosome:2349334-2352054
gene2133	Chromosome:2352103-2353029
gene2134	Chromosome:2353046-2353297
gene2135	Chromosome:2353365-2354315
gene2136	Chromosome:2354312-2355310
gene2137	Chromosome:2355319-2356677
gene2140	Chromosome:2358389-2360041
gene2141	Chromosome:2360240-2363281
gene2142	Chromosome:2363391-2364107
gene2143	Chromosome:2364086-2364520
gene2144	Chromosome:2364527-2364781
gene2145	Chromosome:2364797-2365054
gene2146	Chromosome:2367359-2367655
gene2147	Chromosome:2367711-2368442
gene2148	Chromosome:2368983-2369729
gene2149	Chromosome:2369726-2370601
gene2150	Chromosome:2370598-2370792
gene2151	Chromosome:2370905-2372569
gene2152	Chromosome:2372630-2373823
gene2153	Chromosome:2373834-2374457
gene2154	Chromosome:2374461-2376290
gene2155	Chromosome:2376571-2377140
gene2156	Chromosome:2377148-2377441
gene2157	Chromosome:2377470-2378312
gene2158	Chromosome:2378386-2379222
gene2159	Chromosome:2379245-2379727
gene2160	Chromosome:2379806-2380660
gene2161	Chromosome:2380663-2380944
gene2162	Chromosome:2381071-2382492
gene2163	Chromosome:2382489-2386067
gene2164	Chromosome:2386293-2387171
gene2165	Chromosome:2387202-2387972
gene2166	Chromosome:2388616-2390085
gene2167	Chromosome:2390085-2390288
gene2168	Chromosome:2390308-2391189
gene2169	Chromosome:2391215-2392459
gene2170	Chromosome:2392517-2393320
gene2171	Chromosome:2393411-2393641
gene2172	Chromosome:2393851-2394639
gene2173	Chromosome:2394650-2395237
gene2174	Chromosome:2395301-2396011
gene2175	Chromosome:2396008-2396838
gene2176	Chromosome:2396902-2397315
gene2177	Chromosome:2397330-2398406
gene2178	Chromosome:2398720-2399793
gene2179	Chromosome:2399798-2400328
gene2180	Chromosome:2400376-2401722
gene2181	Chromosome:2401987-2402072
gene2182	Chromosome:2402193-2402510
gene2183	Chromosome:2402507-2402722
gene2184	Chromosome:2402977-2404035
gene2185	Chromosome:2404165-2404521
gene2186	Chromosome:2404616-2405398
gene2187	Chromosome:2405666-2405956
gene2188	Chromosome:2406118-2406843
gene2189	Chromosome:2406840-2407616
gene2190	Chromosome:2407622-2408374
gene2191	Chromosome:2408385-2409524
gene2192	Chromosome:2409697-2410641
gene2193	Chromosome:2410638-2412122
gene2194	Chromosome:2412119-2413351
gene2195	Chromosome:2413348-2414922
gene2196	Chromosome:2414934-2416394
gene2197	Chromosome:2416396-2417475
gene2198	Chromosome:2417472-2419004
gene2199	Chromosome:2419001-2420608
gene2200	Chromosome:2420631-2421665
gene2202	Chromosome:2422271-2423137
gene2203	Chromosome:2423240-2424838
gene2204	Chromosome:2425048-2427087
gene2205	Chromosome:2427084-2428238
gene2206	Chromosome:2428235-2429425
gene2207	Chromosome:2429427-2429858
gene2208	Chromosome:2431565-2431969
gene2209	Chromosome:2432235-2432855
gene2210	Chromosome:2432951-2433634
gene2211	Chromosome:2433631-2434536
gene2212	Chromosome:2434847-2435905
gene2213	Chromosome:2435909-2437459
gene2214	Chromosome:2437446-2437886
gene2215	Chromosome:2437941-2439140
gene2216	Chromosome:2439282-2439947
gene2217	Chromosome:2440332-2441720
gene2218	Chromosome:2441811-2442317
gene2219	Chromosome:2442327-2443214
gene2220	Chromosome:2443302-2444585
gene2221	Chromosome:2444586-2445329
gene2222	Chromosome:2445415-2445810
gene2223	Chromosome:2445807-2446946
gene2224	Chromosome:2447066-2447500
gene2225	Chromosome:2447605-2447994
gene2226	Chromosome:2448160-2449962
gene2227	Chromosome:2449993-2451150
gene2228	Chromosome:2451247-2452020
gene2229	Chromosome:2452115-2453272
gene2230	Chromosome:2453819-2455756
gene2231	Chromosome:2455631-2456743
gene2232	Chromosome:2456901-2457512
gene2233	Chromosome:2457553-2458395
gene2234	Chromosome:2458392-2459681
gene2235	Chromosome:2459678-2461327
gene2236	Chromosome:2461504-2462148
gene2237	Chromosome:2462148-2463047
gene2238	Chromosome:2463233-2463652
gene2239	Chromosome:2463660-2464751
gene2240	Chromosome:2464997-2466955
gene2241	Chromosome:2467053-2468027
gene2242	Chromosome:2468231-2468923
gene2243	Chromosome:2468931-2469287
gene2244	Chromosome:2469387-2470463
gene2245	Chromosome:2470622-2471332
gene2246	Chromosome:2471411-2472496
gene2247	Chromosome:2472493-2473242
gene2248	Chromosome:2473400-2474938
gene2249	Chromosome:2474864-2475970
gene2250	Chromosome:2476042-2477181
gene2251	Chromosome:2477190-2478326
gene2252	Chromosome:2478338-2479885
gene2253	Chromosome:2479923-2481701
gene2254	Chromosome:2481965-2483626
gene2255	Chromosome:2483626-2484531
gene2256	Chromosome:2484584-2485276
gene2257	Chromosome:2485273-2486208
gene2258	Chromosome:2486235-2486987
gene2259	Chromosome:2486994-2487416
gene2260	Chromosome:2487615-2489051
gene2261	Chromosome:2489369-2492353
gene2262	Chromosome:2492402-2493742
gene2263	Chromosome:2493837-2495399
gene2264	Chromosome:2495461-2497023
gene2265	Chromosome:2497225-2497446
gene2266	Chromosome:2497742-2498587
gene2267	Chromosome:2498832-2500373
gene2268	Chromosome:2500445-2500751
gene2269	Chromosome:2500931-2501632
gene2270	Chromosome:2501644-2502738
gene2271	Chromosome:2502735-2503472
gene2272	Chromosome:2503469-2504608
gene2273	Chromosome:2504605-2505699
gene2274	Chromosome:2505736-2506161
gene2275	Chromosome:2506207-2506383
gene2276	Chromosome:2506278-2507153
gene2277	Chromosome:2507146-2507637
gene2278	Chromosome:2507637-2508452
gene2279	Chromosome:2508434-2509375
gene2280	Chromosome:2509489-2510256
gene2281	Chromosome:2510351-2510587
gene2282	Chromosome:2510598-2510669
gene2283	Chromosome:2510715-2511176
gene2284	Chromosome:2511176-2511652
gene2285	Chromosome:2511690-2512280
gene2286	Chromosome:2512539-2515244
gene2287	Chromosome:2515304-2516548
gene2288	Chromosome:2516787-2517695
gene2289	Chromosome:2517032-2517134
gene2290	Chromosome:2517771-2518118
gene2291	Chromosome:2518115-2519365
gene2292	Chromosome:2519396-2520712
gene2293	Chromosome:2520743-2522164
gene2294	Chromosome:2522360-2523175
gene2295	Chromosome:2523241-2524791
gene2296	Chromosome:2524785-2525354
gene2297	Chromosome:2525565-2526992
gene2298	Chromosome:2526989-2527918
gene2299	Chromosome:2527984-2528487
gene2300	Chromosome:2528520-2528975
gene2301	Chromosome:2528980-2529174
gene2302	Chromosome:2529341-2529874
gene2303	Chromosome:2530004-2530822
gene2304	Chromosome:2530836-2531897
gene2305	Chromosome:2532245-2533330
gene2306	Chromosome:2533330-2533965
gene2308	Chromosome:2535641-2536594
gene2309	Chromosome:2536572-2538350
gene2310	Chromosome:2538700-2539929
gene2311	Chromosome:2540104-2541390
gene2312	Chromosome:2541644-2542810
gene2313	Chromosome:2542807-2544276
gene2314	Chromosome:2544289-2544621
gene2315	Chromosome:2544698-2545225
gene2316	Chromosome:2545332-2545631
gene2317	Chromosome:2545737-2546105
gene2318	Chromosome:2546102-2546431
gene2319	Chromosome:2546488-2546805
gene2320	Chromosome:2546839-2547087
gene2321	Chromosome:2546883-2547752
gene2322	Chromosome:2547749-2548939
gene2323	Chromosome:2549124-2550029
gene2324	Chromosome:2551560-2552939
gene2325	Chromosome:2553173-2554831
gene2326	Chromosome:2554938-2555876
gene2327	Chromosome:2555941-2556135
gene2328	Chromosome:2556145-2557440
gene2329	Chromosome:2557473-2558810
gene2330	Chromosome:2558877-2559569
gene2331	Chromosome:2559703-2561331
gene2332	Chromosome:2561328-2561705
gene2333	Chromosome:2561675-2562457
gene2334	Chromosome:2562599-2563114
gene2335	Chromosome:2563174-2564028
gene2336	Chromosome:2564029-2564253
gene2337	Chromosome:2564292-2565032
gene2338	Chromosome:2565327-2566550
gene2339	Chromosome:2566772-2567410
gene2340	Chromosome:2567504-2568406
gene2341	Chromosome:2568438-2568890
gene2342	Chromosome:2569082-2570053
gene2343	Chromosome:2570059-2572002
gene2344	Chromosome:2572076-2573008
gene2345	Chromosome:2573015-2573707
gene2346	Chromosome:2573813-2574055
gene2347	Chromosome:2574096-2575019
gene2348	Chromosome:2575016-2575225
gene2349	Chromosome:2575809-2577098
gene2351	Chromosome:2577851-2578696
gene2352	Chromosome:2579228-2579419
gene2353	Chromosome:2579504-2579935
gene2354	Chromosome:2580028-2580210
gene2355	Chromosome:2580419-2581135
gene2356	Chromosome:2581145-2581477
gene2357	Chromosome:2581764-2581837
gene2358	Chromosome:2583045-2583332
gene2359	Chromosome:2583435-2583779
gene2360	Chromosome:2583884-2584408
gene2361	Chromosome:2584486-2584755
gene2362	Chromosome:2585052-2585906
gene2363	Chromosome:2585917-2587290
gene2364	Chromosome:2587287-2588804
gene2365	Chromosome:2588838-2589710
gene2366	Chromosome:2589697-2590521
gene2367	Chromosome:2590518-2591840
gene2368	Chromosome:2591848-2592726
gene2369	Chromosome:2592723-2594153
gene2370	Chromosome:2595361-2596269
gene2371	Chromosome:2596334-2596780
gene2372	Chromosome:2597009-2597857
