CP003351.2	CP003351:1-1335
CP003351.2901	CP003351:1471498-1471899
CP003351.2903	CP003351:1471889-1472242
CP003351.2905	CP003351:1472232-1472543
CP003351.2907	CP003351:1472540-1473415
CP003351.2909	CP003351:1473425-1474585
CP003351.2911	CP003351:1474585-1475271
CP003351.2913	CP003351:1475234-1476412
CP003351.2915	CP003351:1476432-1478126
CP003351.2917	CP003351:1478104-1478418
CP003351.2919	CP003351:1478521-1478802
CP003351.2921	CP003351:1478807-1479151
CP003351.2923	CP003351:1479177-1479344
CP003351.2925	CP003351:1480200-1480475
CP003351.2927	CP003351:1480472-1480624
CP003351.2929	CP003351:1480933-1481346
CP003351.2931	CP003351:1481423-1481719
CP003351.2933	CP003351:1481716-1482273
CP003351.2935	CP003351:1482270-1482689
CP003351.2937	CP003351:1482686-1482931
CP003351.2939	CP003351:1482891-1483247
CP003351.2941	CP003351:1483247-1483546
CP003351.2943	CP003351:1483549-1483710
CP003351.2945	CP003351:1483707-1484009
CP003351.2947	CP003351:1484002-1484166
CP003351.2949	CP003351:1484171-1484440
CP003351.2951	CP003351:1484452-1485201
CP003351.2953	CP003351:1485204-1485890
CP003351.2955	CP003351:1485896-1486567
CP003351.2957	CP003351:1486560-1486901
CP003351.2959	CP003351:1487079-1487777
CP003351.2961	CP003351:1487831-1488334
CP003351.2963	CP003351:1488377-1488556
CP003351.2965	CP003351:1488543-1488881
CP003351.2967	CP003351:1488897-1489100
CP003351.2969	CP003351:1489115-1489891
CP003351.2971	CP003351:1490190-1490510
CP003351.2973	CP003351:1490528-1490959
CP003351.2975	CP003351:1491089-1491262
CP003351.2977	CP003351:1491259-1491549
CP003351.2979	CP003351:1491583-1492218
CP003351.2981	CP003351:1492331-1492966
CP003351.2983	CP003351:1492959-1493093
CP003351.2985	CP003351:1493265-1494404
CP003351.2987	CP003351:1494497-1495054
CP003351.2989	CP003351:1495067-1495255
CP003351.2991	CP003351:1495268-1495834
CP003351.2993	CP003351:1496251-1496424
CP003351.2995	CP003351:1497064-1497537
CP003351.2997	CP003351:1497546-1497773
CP003351.2999	CP003351:1498409-1498780
CP003351.3001	CP003351:1499036-1499278
CP003351.3003	CP003351:1499310-1500212
CP003351.3005	CP003351:1500225-1500413
CP003351.3007	CP003351:1500427-1500990
CP003351.3009	CP003351:1501028-1501921
CP003351.3011	CP003351:1501999-1502937
CP003351.3013	CP003351:1502971-1503321
CP003351.3015	CP003351:1503354-1504256
CP003351.3017	CP003351:1504249-1505106
CP003351.3019	CP003351:1505440-1506249
CP003351.3021	CP003351:1506289-1506786
CP003351.3023	CP003351:1507170-1507245
CP003351.3025	CP003351:1507449-1507754
CP003351.3027	CP003351:1507918-1508172
CP003351.3029	CP003351:1508242-1508487
CP003351.3031	CP003351:1508563-1508928
CP003351.3033	CP003351:1508989-1509087
CP003351.3035	CP003351:1510201-1511496
CP003351.3037	CP003351:1511642-1511842
CP003351.3039	CP003351:1512238-1512387
CP003351.3041	CP003351:1512594-1513307
CP003351.3043	CP003351:1513300-1514385
CP003351.3045	CP003351:1514402-1514845
CP003351.3047	CP003351:1514879-1515301
CP003351.3049	CP003351:1515344-1515745
CP003351.3051	CP003351:1515782-1516291
CP003351.3053	CP003351:1516313-1517170
CP003351.3055	CP003351:1517188-1518021
CP003351.3057	CP003351:1518035-1518832
CP003351.3059	CP003351:1518865-1519137
CP003351.3061	CP003351:1519146-1520147
CP003351.3063	CP003351:1520149-1521051
CP003351.3065	CP003351:1521215-1522063
CP003351.3067	CP003351:1522709-1522915
CP003351.3069	CP003351:1523117-1524118
CP003351.3071	CP003351:1524123-1526027
CP003351.3073	CP003351:1526204-1526710
CP003351.3075	CP003351:1526870-1527310
CP003351.3077	CP003351:1527336-1528493
CP003351.3079	CP003351:1528496-1528852
CP003351.3081	CP003351:1529150-1530124
CP003351.3083	CP003351:1530320-1531159
CP003351.3085	CP003351:1531344-1532231
CP003351.3087	CP003351:1532825-1533535
CP003351.3089	CP003351:1533504-1533902
CP003351.3091	CP003351:1534311-1535561
CP003351.3093	CP003351:1535703-1536698
CP003351.3095	CP003351:1536716-1537270
CP003351.3097	CP003351:1537258-1537749
CP003351.3099	CP003351:1537742-1539610
CP003351.3101	CP003351:1539629-1540429
CP003351.3103	CP003351:1540653-1540868
CP003351.3105	CP003351:1541007-1541492
CP003351.3107	CP003351:1541948-1542361
CP003351.3109	CP003351:1543412-1543768
CP003351.3111	CP003351:1543782-1544102
CP003351.3113	CP003351:1544078-1544590
CP003351.3115	CP003351:1544746-1545699
CP003351.3117	CP003351:1545756-1546883
CP003351.3119	CP003351:1546977-1548812
CP003351.3121	CP003351:1548959-1550179
CP003351.3123	CP003351:1550199-1550693
CP003351.3125	CP003351:1550686-1551357
CP003351.3127	CP003351:1551508-1554117
CP003351.3129	CP003351:1554368-1555414
CP003351.3131	CP003351:1555425-1555697
CP003351.3133	CP003351:1555732-1556640
CP003351.3135	CP003351:1556772-1558004
CP003351.3137	CP003351:1558019-1559140
CP003351.3139	CP003351:1559137-1559838
CP003351.3141	CP003351:1559982-1560422
CP003351.3143	CP003351:1560551-1561477
CP003351.3145	CP003351:1561477-1562850
CP003351.3147	CP003351:1562873-1563364
CP003351.3149	CP003351:1563676-1564008
CP003351.3151	CP003351:1564060-1564689
CP003351.3153	CP003351:1564653-1565489
CP003351.3155	CP003351:1565534-1568179
CP003351.3157	CP003351:1568305-1568988
CP003351.3159	CP003351:1568981-1569466
CP003351.3161	CP003351:1569773-1571107
CP003351.3163	CP003351:1571238-1571999
CP003351.3165	CP003351:1572015-1572497
CP003351.3167	CP003351:1572517-1574697
CP003351.3169	CP003351:1574841-1575572
CP003351.3171	CP003351:1575641-1576582
CP003351.3173	CP003351:1576686-1576817
CP003351.3175	CP003351:1576762-1577130
CP003351.3177	CP003351:1577741-1579132
CP003351.3179	CP003351:1579345-1579731
CP003351.3181	CP003351:1579787-1580410
CP003351.3183	CP003351:1580474-1581142
CP003351.3185	CP003351:1581154-1581594
CP003351.3187	CP003351:1581653-1582324
CP003351.3189	CP003351:1582509-1582907
CP003351.3191	CP003351:1582904-1583677
CP003351.3193	CP003351:1583674-1584357
CP003351.3195	CP003351:1584524-1585411
CP003351.3197	CP003351:1585408-1586277
CP003351.3199	CP003351:1586414-1587700
CP003351.3201	CP003351:1587973-1588551
CP003351.3203	CP003351:1588551-1589480
CP003351.3205	CP003351:1589477-1591213
CP003351.3207	CP003351:1591276-1592112
CP003351.3209	CP003351:1592109-1592618
CP003351.3211	CP003351:1592611-1593906
CP003351.3213	CP003351:1593919-1595010
CP003351.3215	CP003351:1595027-1596193
CP003351.3217	CP003351:1596195-1597259
CP003351.3219	CP003351:1597292-1598314
CP003351.3221	CP003351:1598973-1599947
CP003351.3223	CP003351:1599928-1601811
CP003351.3225	CP003351:1601829-1604054
CP003351.3227	CP003351:1604169-1605203
CP003351.3229	CP003351:1605270-1606283
CP003351.3231	CP003351:1606989-1607117
CP003351.3233	CP003351:1607340-1608695
CP003351.3235	CP003351:1608652-1608858
CP003351.3237	CP003351:1608913-1609263
CP003351.3239	CP003351:1609244-1609438
CP003351.3241	CP003351:1609617-1610351
CP003351.3243	CP003351:1610364-1611023
CP003351.3245	CP003351:1611020-1611859
CP003351.3247	CP003351:1612191-1613096
CP003351.3249	CP003351:1613529-1615100
CP003351.3251	CP003351:1615087-1615518
CP003351.3253	CP003351:1615515-1617077
CP003351.3255	CP003351:1617138-1617536
CP003351.3257	CP003351:1617680-1619179
CP003351.3259	CP003351:1619182-1619715
CP003351.3261	CP003351:1619830-1622298
CP003351.3263	CP003351:1622794-1623060
CP003351.3265	CP003351:1623082-1625607
CP003351.3267	CP003351:1625614-1626390
CP003351.3269	CP003351:1626404-1629067
CP003351.3271	CP003351:1629381-1629761
CP003351.3273	CP003351:1629776-1630387
CP003351.3275	CP003351:1630391-1630732
CP003351.3277	CP003351:1630729-1631160
CP003351.3279	CP003351:1631265-1631573
CP003351.3281	CP003351:1631591-1631902
CP003351.3283	CP003351:1631921-1633123
CP003351.3285	CP003351:1633138-1633725
CP003351.3287	CP003351:1633763-1635133
CP003351.3289	CP003351:1635151-1636752
CP003351.3291	CP003351:1636849-1637403
CP003351.3293	CP003351:1637675-1638151
CP003351.3295	CP003351:1638250-1639200
CP003351.3297	CP003351:1639339-1639656
CP003351.3299	CP003351:1639646-1639882
CP003351.3301	CP003351:1639866-1640585
CP003351.3303	CP003351:1640686-1642614
CP003351.3305	CP003351:1642607-1643866
CP003351.3307	CP003351:1643863-1644669
CP003351.3309	CP003351:1645034-1645648
CP003351.3311	CP003351:1645812-1646237
CP003351.3313	CP003351:1646182-1646295
CP003351.3315	CP003351:1646292-1647650
CP003351.3317	CP003351:1647640-1647933
CP003351.3319	CP003351:1648057-1650294
CP003351.3321	CP003351:1650285-1650704
CP003351.3323	CP003351:1651231-1651602
CP003351.3325	CP003351:1651589-1651786
CP003351.3327	CP003351:1651826-1652260
CP003351.3329	CP003351:1652226-1652555
CP003351.3331	CP003351:1652548-1653708
CP003351.3333	CP003351:1653689-1654252
CP003351.3335	CP003351:1654563-1656551
CP003351.3337	CP003351:1656594-1657199
CP003351.3339	CP003351:1657669-1657866
CP003351.3341	CP003351:1657919-1658554
CP003351.3343	CP003351:1658582-1659040
CP003351.3345	CP003351:1659065-1659478
CP003351.3347	CP003351:1659616-1661481
CP003351.3349	CP003351:1661590-1662219
CP003351.3351	CP003351:1662212-1663393
CP003351.3353	CP003351:1663431-1663640
CP003351.3355	CP003351:1664241-1665617
CP003351.3357	CP003351:1665728-1666783
CP003351.3359	CP003351:1666793-1668223
CP003351.3361	CP003351:1668220-1669692
CP003351.3363	CP003351:1669692-1669997
CP003351.3365	CP003351:1670103-1672139
CP003351.3367	CP003351:1672156-1674390
CP003351.3369	CP003351:1674545-1676104
CP003351.3371	CP003351:1676215-1678146
CP003351.3373	CP003351:1678164-1679078
CP003351.3375	CP003351:1679075-1679827
CP003351.3377	CP003351:1679987-1680196
CP003351.3379	CP003351:1680207-1681535
CP003351.3381	CP003351:1681671-1681826
CP003351.3383	CP003351:1681900-1682487
CP003351.3385	CP003351:1682570-1683820
CP003351.3387	CP003351:1684067-1685356
CP003351.3389	CP003351:1685510-1686442
CP003351.3391	CP003351:1686599-1687258
CP003351.3393	CP003351:1687261-1688286
CP003351.3395	CP003351:1688299-1688589
CP003351.3397	CP003351:1688998-1690803
CP003351.3399	CP003351:1690875-1692230
CP003351.3401	CP003351:1692254-1693423
CP003351.3403	CP003351:1693420-1694307
CP003351.3405	CP003351:1694496-1698188
CP003351.3407	CP003351:1698387-1698908
CP003351.3409	CP003351:1699607-1700164
CP003351.3411	CP003351:1700343-1700930
CP003351.3413	CP003351:1701067-1701324
CP003351.3415	CP003351:1702233-1702484
CP003351.3417	CP003351:1703057-1703395
CP003351.3419	CP003351:1703427-1704011
CP003351.3421	CP003351:1704008-1704589
CP003351.3423	CP003351:1704776-1705402
CP003351.3425	CP003351:1705417-1705617
CP003351.3427	CP003351:1705969-1706904
CP003351.3429	CP003351:1706938-1707936
CP003351.3431	CP003351:1707933-1708817
CP003351.3433	CP003351:1708952-1709683
CP003351.3435	CP003351:1709687-1710952
CP003351.3437	CP003351:1711215-1714031
CP003351.3439	CP003351:1714041-1716035
CP003351.3441	CP003351:1716294-1717796
CP003351.3443	CP003351:1717798-1718535
CP003351.3445	CP003351:1718765-1719394
CP003351.3447	CP003351:1719476-1720642
CP003351.3449	CP003351:1720793-1722622
CP003351.3451	CP003351:1722673-1723236
CP003351.3453	CP003351:1723330-1724373
CP003351.3455	CP003351:1724607-1725638
CP003351.3457	CP003351:1725789-1726016
CP003351.3459	CP003351:1726500-1727090
CP003351.3461	CP003351:1727280-1727993
CP003351.3463	CP003351:1728108-1729118
CP003351.3465	CP003351:1729155-1729637
CP003351.3467	CP003351:1729787-1730155
CP003351.3469	CP003351:1730620-1731072
CP003351.3471	CP003351:1731196-1732047
CP003351.3473	CP003351:1732060-1732845
CP003351.3475	CP003351:1733197-1734138
CP003351.3477	CP003351:1734142-1735065
CP003351.3479	CP003351:1735433-1736317
CP003351.3481	CP003351:1736311-1737795
CP003351.3483	CP003351:1738573-1738920
CP003351.3485	CP003351:1738947-1741253
CP003351.3487	CP003351:1741266-1741577
CP003351.3489	CP003351:1741574-1741867
CP003351.3491	CP003351:1741889-1743064
CP003351.3493	CP003351:1743087-1743560
CP003351.3495	CP003351:1743705-1748063
CP003351.3497	CP003351:1748275-1749984
CP003351.3499	CP003351:1750052-1751320
CP003351.3501	CP003351:1751481-1752281
CP003351.3503	CP003351:1752278-1753090
CP003351.3505	CP003351:1753285-1753842
CP003351.3507	CP003351:1753845-1754567
CP003351.3509	CP003351:1754703-1755584
CP003351.3511	CP003351:1755683-1756465
CP003351.3513	CP003351:1756824-1757303
CP003351.3515	CP003351:1757520-1758611
CP003351.3517	CP003351:1758604-1758732
CP003351.3519	CP003351:1758736-1759281
CP003351.3521	CP003351:1759735-1761426
CP003351.3523	CP003351:1761846-1762793
CP003351.3525	CP003351:1762908-1763927
CP003351.3527	CP003351:1764018-1765247
CP003351.3529	CP003351:1765708-1766409
CP003351.3531	CP003351:1767018-1768034
CP003351.3533	CP003351:1768031-1768495
CP003351.3535	CP003351:1768502-1769044
CP003351.3537	CP003351:1769028-1769852
CP003351.3539	CP003351:1769941-1770921
CP003351.3541	CP003351:1770945-1772429
CP003351.3543	CP003351:1772441-1773430
CP003351.3545	CP003351:1773678-1773845
CP003351.3547	CP003351:1773907-1775718
CP003351.3549	CP003351:1775715-1776080
CP003351.3551	CP003351:1776243-1776638
CP003351.3553	CP003351:1776656-1777618
CP003351.3555	CP003351:1777618-1777830
CP003351.3557	CP003351:1777851-1778549
CP003351.3559	CP003351:1778569-1779111
CP003351.3561	CP003351:1779243-1780247
CP003351.3563	CP003351:1780244-1781233
CP003351.3565	CP003351:1781230-1782036
CP003351.3567	CP003351:1782202-1783158
CP003351.3569	CP003351:1783235-1783753
CP003351.3571	CP003351:1783841-1783990
CP003351.3573	CP003351:1784218-1784670
CP003351.3575	CP003351:1784776-1786071
CP003351.3577	CP003351:1786370-1788265
CP003351.3579	CP003351:1788540-1789985
CP003351.3581	CP003351:1790150-1790491
CP003351.3583	CP003351:1790613-1790918
CP003351.3585	CP003351:1790915-1791790
CP003351.3587	CP003351:1791888-1792469
CP003351.3589	CP003351:1792803-1792890
CP003351.3591	CP003351:1793035-1793601
CP003351.3593	CP003351:1793857-1795188
CP003351.3595	CP003351:1795154-1795504
CP003351.3597	CP003351:1795596-1796015
CP003351.3599	CP003351:1796016-1796360
CP003351.3601	CP003351:1796632-1797585
CP003351.3603	CP003351:1797775-1798371
CP003351.3605	CP003351:1798495-1800294
CP003351.3607	CP003351:1800393-1800503
CP003351.3609	CP003351:1800572-1800784
CP003351.3611	CP003351:1801246-1801395
CP003351.3613	CP003351:1801648-1802607
CP003351.3615	CP003351:1802820-1803602
CP003351.3617	CP003351:1803662-1804306
CP003351.3619	CP003351:1804793-1805107
CP003351.3621	CP003351:1805331-1805717
CP003351.3623	CP003351:1806025-1807371
CP003351.3625	CP003351:1807483-1808832
CP003351.3627	CP003351:1808949-1810202
CP003351.3629	CP003351:1810273-1810758
CP003351.3631	CP003351:1810781-1811539
CP003351.3633	CP003351:1811555-1812733
CP003351.3635	CP003351:1812963-1815083
CP003351.3637	CP003351:1815306-1816031
CP003351.3639	CP003351:1816021-1816530
CP003351.3641	CP003351:1816600-1818048
CP003351.3643	CP003351:1818048-1818764
CP003351.3645	CP003351:1818745-1819095
CP003351.3647	CP003351:1819239-1820012
CP003351.3649	CP003351:1820769-1821071
CP003351.3651	CP003351:1821587-1821660
CP003351.3653	CP003351:1822646-1823824
CP003351.3655	CP003351:1824161-1824400
CP003351.3657	CP003351:1824762-1825022
CP003351.3659	CP003351:1825207-1825704
CP003351.3661	CP003351:1825834-1826544
CP003351.3663	CP003351:1826557-1828221
CP003351.3665	CP003351:1828426-1829088
CP003351.3667	CP003351:1829098-1829913
CP003351.3669	CP003351:1830168-1830611
CP003351.3671	CP003351:1830745-1831050
CP003351.3673	CP003351:1831071-1831448
CP003351.3675	CP003351:1831672-1832865
CP003351.3677	CP003351:1833031-1833453
CP003351.3679	CP003351:1834039-1834533
CP003351.3681	CP003351:1834501-1834698
CP003351.3683	CP003351:1834695-1835867
CP003351.3685	CP003351:1836073-1836888
CP003351.3687	CP003351:1837038-1837484
CP003351.3689	CP003351:1837481-1838494
CP003351.3691	CP003351:1838525-1838983
CP003351.3693	CP003351:1838980-1839792
CP003351.3695	CP003351:1839823-1841301
CP003351.3697	CP003351:1842148-1842441
CP003351.3699	CP003351:1842844-1844022
CP003351.3701	CP003351:1844126-1844440
CP003351.3703	CP003351:1844547-1844762
CP003351.3705	CP003351:1845062-1845313
CP003351.3707	CP003351:1845291-1845719
CP003351.3709	CP003351:1845871-1847418
CP003351.3711	CP003351:1847520-1847873
CP003351.3713	CP003351:1847863-1848057
CP003351.3715	CP003351:1848534-1848908
CP003351.3717	CP003351:1848931-1850331
CP003351.3719	CP003351:1850335-1850745
CP003351.3721	CP003351:1850763-1851254
CP003351.3723	CP003351:1851264-1852055
CP003351.3725	CP003351:1852048-1852821
CP003351.3727	CP003351:1852977-1855511
CP003351.3729	CP003351:1855593-1856465
CP003351.3731	CP003351:1856501-1856968
CP003351.3733	CP003351:1856978-1858447
CP003351.3735	CP003351:1858518-1859936
CP003351.3737	CP003351:1860058-1861038
CP003351.3739	CP003351:1861318-1862154
CP003351.3741	CP003351:1862190-1862480
CP003351.3743	CP003351:1862573-1863052
CP003351.3745	CP003351:1863421-1864374
CP003351.3747	CP003351:1864983-1866104
CP003351.3749	CP003351:1866423-1867841
CP003351.3751	CP003351:1867838-1868566
CP003351.3753	CP003351:1868694-1869605
CP003351.3755	CP003351:1869622-1870629
CP003351.3757	CP003351:1870626-1872755
CP003351.3759	CP003351:1872760-1873680
CP003351.3761	CP003351:1873814-1875640
CP003351.3763	CP003351:1876337-1877887
CP003351.3765	CP003351:1877874-1878263
CP003351.3767	CP003351:1878313-1879209
CP003351.3769	CP003351:1879212-1881059
CP003351.3771	CP003351:1881156-1881656
CP003351.3773	CP003351:1881997-1883907
CP003351.3775	CP003351:1884653-1884790
CP003351.3777	CP003351:1884787-1885476
CP003351.3779	CP003351:1885516-1885971
CP003351.3781	CP003351:1886227-1886481
CP003351.3783	CP003351:1886506-1887648
CP003351.3785	CP003351:1887708-1889060
CP003351.3787	CP003351:1889131-1889475
CP003351.3789	CP003351:1889485-1889859
CP003351.3791	CP003351:1889872-1890186
CP003351.3793	CP003351:1890300-1893527
CP003351.3795	CP003351:1893606-1894268
CP003351.3797	CP003351:1894641-1894988
CP003351.3799	CP003351:1895124-1895885
CP003351.3801	CP003351:1895875-1896396
CP003351.3803	CP003351:1896566-1897357
CP003351.3805	CP003351:1897482-1897733
CP003351.3807	CP003351:1897745-1898020
CP003351.3809	CP003351:1898273-1898827
CP003351.3811	CP003351:1898906-1899427
CP003351.3813	CP003351:1899431-1900009
CP003351.3815	CP003351:1900121-1901539
CP003351.3817	CP003351:1901560-1901898
CP003351.3819	CP003351:1901858-1902361
CP003351.3821	CP003351:1902492-1903196
CP003351.3823	CP003351:1903193-1904929
CP003351.3825	CP003351:1905032-1907503
CP003351.3827	CP003351:1907776-1909044
CP003351.3829	CP003351:1909150-1910445
CP003351.3831	CP003351:1910848-1911738
CP003351.3833	CP003351:1911935-1912513
CP003351.3835	CP003351:1912624-1912989
CP003351.3837	CP003351:1913080-1913397
CP003351.3839	CP003351:1913658-1914845
CP003351.3841	CP003351:1915668-1916963
CP003351.3843	CP003351:1917119-1918093
CP003351.3845	CP003351:1918703-1919212
CP003351.3847	CP003351:1919209-1919310
CP003351.3849	CP003351:1920036-1920293
CP003351.3851	CP003351:1920524-1920940
CP003351.3853	CP003351:1921145-1922464
CP003351.3855	CP003351:1923195-1923707
CP003351.3857	CP003351:1923704-1923886
CP003351.3859	CP003351:1923883-1924239
CP003351.3861	CP003351:1924409-1925350
CP003351.3863	CP003351:1925696-1926052
CP003351.3865	CP003351:1926049-1926231
CP003351.3867	CP003351:1926228-1927034
CP003351.3869	CP003351:1927074-1927766
CP003351.3871	CP003351:1928203-1928772
CP003351.3873	CP003351:1928846-1929169
CP003351.3875	CP003351:1929323-1930135
CP003351.3877	CP003351:1930489-1931337
CP003351.3879	CP003351:1931351-1931674
CP003351.3881	CP003351:1931671-1932423
CP003351.3883	CP003351:1932413-1933711
CP003351.3885	CP003351:1933844-1934584
CP003351.3887	CP003351:1934696-1936867
CP003351.3889	CP003351:1936887-1939073
CP003351.3891	CP003351:1939073-1939282
CP003351.3893	CP003351:1939295-1939735
CP003351.3895	CP003351:1939809-1940348
CP003351.3897	CP003351:1940596-1941684
CP003351.3899	CP003351:1942361-1943827
CP003351.3901	CP003351:1944118-1946202
CP003351.3903	CP003351:1946727-1947086
CP003351.3905	CP003351:1947116-1947457
CP003351.3907	CP003351:1947454-1948128
CP003351.3909	CP003351:1949304-1950602
CP003351.3911	CP003351:1950642-1951832
CP003351.3913	CP003351:1951853-1952356
CP003351.3915	CP003351:1952427-1955216
CP003351.3917	CP003351:1955363-1955563
CP003351.3919	CP003351:1955848-1956012
CP003351.3921	CP003351:1956015-1956335
CP003351.3923	CP003351:1956838-1957956
CP003351.3925	CP003351:1958189-1958311
CP003351.3927	CP003351:1958427-1959734
CP003351.3929	CP003351:1959855-1961054
CP003351.3931	CP003351:1961081-1962349
CP003351.3933	CP003351:1962519-1963160
CP003351.3935	CP003351:1963569-1964072
CP003351.3937	CP003351:1964195-1964959
CP003351.3939	CP003351:1965067-1965342
CP003351.3941	CP003351:1965902-1966852
CP003351.3943	CP003351:1966898-1967299
CP003351.3945	CP003351:1967313-1968122
CP003351.3947	CP003351:1968109-1968999
CP003351.3949	CP003351:1969012-1969401
CP003351.3951	CP003351:1969667-1970608
CP003351.3953	CP003351:1970605-1971600
CP003351.3955	CP003351:1971593-1972789
CP003351.3957	CP003351:1972807-1973535
CP003351.3959	CP003351:1973976-1974950
CP003351.3961	CP003351:1974947-1975405
CP003351.3963	CP003351:1975402-1976865
CP003351.3965	CP003351:1976847-1977779
CP003351.3967	CP003351:1977921-1978589
CP003351.3969	CP003351:1978513-1979466
CP003351.3971	CP003351:1980298-1981071
CP003351.3973	CP003351:1982085-1982756
CP003351.3975	CP003351:1982707-1983633
CP003351.3977	CP003351:1983722-1984087
CP003351.3979	CP003351:1984077-1984271
CP003351.3981	CP003351:1984975-1985913
CP003351.3983	CP003351:1986156-1987181
CP003351.3985	CP003351:1987668-1988234
CP003351.3987	CP003351:1988381-1989964
CP003351.3989	CP003351:1989983-1990642
CP003351.3991	CP003351:1990735-1991862
CP003351.3993	CP003351:1991916-1992155
CP003351.3995	CP003351:1992152-1992721
CP003351.3997	CP003351:1992667-1993239
CP003351.3999	CP003351:1993323-1993940
CP003351.4001	CP003351:1993975-1994541
CP003351.4003	CP003351:1995170-1996231
CP003351.4005	CP003351:1996253-1997275
CP003351.4007	CP003351:1997281-1998387
CP003351.4009	CP003351:1998387-1999523
CP003351.4011	CP003351:1999555-2001006
CP003351.4013	CP003351:2001050-2001814
CP003351.4015	CP003351:2001842-2002540
CP003351.4017	CP003351:2002552-2003331
CP003351.4019	CP003351:2003347-2004291
CP003351.4021	CP003351:2004337-2005116
CP003351.4023	CP003351:2005542-2006450
CP003351.4025	CP003351:2006673-2006834
CP003351.4027	CP003351:2007269-2008447
CP003351.4029	CP003351:2008849-2010396
CP003351.4031	CP003351:2010498-2010851
CP003351.4033	CP003351:2010841-2011035
CP003351.4035	CP003351:2011245-2013320
CP003351.4037	CP003351:2013322-2014239
CP003351.4039	CP003351:2014623-2015435
CP003351.4041	CP003351:2015578-2016477
CP003351.4043	CP003351:2016492-2016887
CP003351.4045	CP003351:2016871-2017332
CP003351.4047	CP003351:2017364-2019556
CP003351.4049	CP003351:2019580-2020551
CP003351.4051	CP003351:2021257-2022636
CP003351.4053	CP003351:2022790-2023236
CP003351.4055	CP003351:2023263-2023439
CP003351.4057	CP003351:2023601-2024029
CP003351.4059	CP003351:2024121-2024981
CP003351.4061	CP003351:2025073-2025366
CP003351.4063	CP003351:2025438-2027165
CP003351.4065	CP003351:2027379-2028305
CP003351.4067	CP003351:2028450-2029883
CP003351.4069	CP003351:2029883-2031286
CP003351.4071	CP003351:2031517-2032419
CP003351.4073	CP003351:2032459-2032629
CP003351.4075	CP003351:2032633-2034345
CP003351.4077	CP003351:2034438-2035289
CP003351.4079	CP003351:2035615-2037399
CP003351.4081	CP003351:2037399-2039150
CP003351.4083	CP003351:2039292-2039516
CP003351.4085	CP003351:2039767-2041353
CP003351.4087	CP003351:2041419-2043194
CP003351.4089	CP003351:2043407-2044309
CP003351.4091	CP003351:2044588-2046933
CP003351.4093	CP003351:2047270-2048271
CP003351.4095	CP003351:2048481-2049587
CP003351.4097	CP003351:2049646-2050248
CP003351.4099	CP003351:2050251-2050691
CP003351.4101	CP003351:2050816-2051754
CP003351.4103	CP003351:2051769-2052794
CP003351.4105	CP003351:2052838-2053668
CP003351.4107	CP003351:2053683-2054621
CP003351.4109	CP003351:2054788-2055138
CP003351.4111	CP003351:2055138-2055458
CP003351.4113	CP003351:2055755-2057323
CP003351.4115	CP003351:2057423-2058190
CP003351.4117	CP003351:2058187-2059218
CP003351.4119	CP003351:2059456-2060133
CP003351.4121	CP003351:2060146-2060904
CP003351.4123	CP003351:2060920-2061726
CP003351.4125	CP003351:2061741-2062625
CP003351.4127	CP003351:2062625-2063545
CP003351.4129	CP003351:2063660-2064517
CP003351.4131	CP003351:2064854-2066302
CP003351.4133	CP003351:2066454-2067347
CP003351.4135	CP003351:2067331-2068017
CP003351.4137	CP003351:2068122-2069105
CP003351.4139	CP003351:2069349-2071883
CP003351.4141	CP003351:2072105-2072656
CP003351.4143	CP003351:2072784-2073503
CP003351.4145	CP003351:2073500-2074813
CP003351.4147	CP003351:2074894-2075214
CP003351.4149	CP003351:2075322-2075609
CP003351.4151	CP003351:2075736-2076380
CP003351.4153	CP003351:2076440-2077147
CP003351.4155	CP003351:2077367-2077537
CP003351.4157	CP003351:2077661-2077734
CP003351.4159	CP003351:2077740-2077820
CP003351.4161	CP003351:2077908-2078144
CP003351.4163	CP003351:2078258-2079142
CP003351.4165	CP003351:2079227-2079694
CP003351.4167	CP003351:2079878-2080174
CP003351.4169	CP003351:2080309-2080485
CP003351.4171	CP003351:2080498-2081799
CP003351.4173	CP003351:2081896-2082126
CP003351.4175	CP003351:2082595-2083017
CP003351.4177	CP003351:2083031-2084437
CP003351.4179	CP003351:2084460-2085362
CP003351.4181	CP003351:2085376-2086932
CP003351.4183	CP003351:2086955-2087497
CP003351.4185	CP003351:2087484-2088008
CP003351.4187	CP003351:2088099-2088314
CP003351.4189	CP003351:2088367-2089086
CP003351.4191	CP003351:2089388-2089852
CP003351.4193	CP003351:2089874-2092231
CP003351.4195	CP003351:2092234-2092989
CP003351.4197	CP003351:2093092-2093328
CP003351.4199	CP003351:2093446-2093724
CP003351.4201	CP003351:2093837-2094805
CP003351.4203	CP003351:2095088-2096062
CP003351.4205	CP003351:2096067-2096642
CP003351.4207	CP003351:2096709-2097848
CP003351.4209	CP003351:2098248-2099546
CP003351.4211	CP003351:2099662-2100417
CP003351.4213	CP003351:2100521-2101711
CP003351.4215	CP003351:2101821-2102822
CP003351.4217	CP003351:2102863-2103900
CP003351.4219	CP003351:2104103-2105437
CP003351.4221	CP003351:2105496-2105569
CP003351.4223	CP003351:2105760-2106644
CP003351.4225	CP003351:2106731-2107630
CP003351.4227	CP003351:2107647-2108153
CP003351.4229	CP003351:2108342-2108962
